file,region,period,rows,issue,estimatedMissingIntervals,intervalAnomalies,malformedRows
TAS202512.csv,TAS,202512,8928,none,0,0,0
TAS202601.csv,TAS,202601,8928,none,0,0,0
TAS202602.csv,TAS,202602,8064,none,0,0,0
TAS202603.csv,TAS,202603,4896,incomplete-month;partial-month,0,0,0
VIC202101.csv,VIC,202101,1488,none,0,0,0
VIC202102.csv,VIC,202102,1344,none,0,0,0
VIC202103.csv,VIC,202103,1488,none,0,0,0
VIC202104.csv,VIC,202104,1440,none,0,0,0
VIC202105.csv,VIC,202105,1488,none,0,0,0
VIC202106.csv,VIC,202106,1440,none,0,0,0
VIC202107.csv,VIC,202107,1488,none,0,0,0
VIC202108.csv,VIC,202108,1488,none,0,0,0
VIC202109.csv,VIC,202109,1440,none,0,0,0
VIC202110.csv,VIC,202110,8928,none,0,0,0
VIC202111.csv,VIC,202111,8640,none,0,0,0
VIC202112.csv,VIC,202112,8928,none,0,0,0
VIC202201.csv,VIC,202201,8928,none,0,0,0
VIC202202.csv,VIC,202202,8064,none,0,0,0
VIC202203.csv,VIC,202203,8928,none,0,0,0
VIC202204.csv,VIC,202204,8640,none,0,0,0
VIC202205.csv,VIC,202205,8928,none,0,0,0
VIC202206.csv,VIC,202206,8640,none,0,0,0
VIC202207.csv,VIC,202207,8928,none,0,0,0
VIC202208.csv,VIC,202208,8928,none,0,0,0
VIC202209.csv,VIC,202209,8640,none,0,0,0
VIC202210.csv,VIC,202210,8928,none,0,0,0
VIC202211.csv,VIC,202211,8640,none,0,0,0
VIC202212.csv,VIC,202212,8928,none,0,0,0
VIC202301.csv,VIC,202301,8928,none,0,0,0
VIC202302.csv,VIC,202302,8064,none,0,0,0
VIC202303.csv,VIC,202303,8928,none,0,0,0
VIC202304.csv,VIC,202304,8640,none,0,0,0
VIC202305.csv,VIC,202305,8928,none,0,0,0
VIC202306.csv,VIC,202306,8640,none,0,0,0
VIC202307.csv,VIC,202307,8928,none,0,0,0
VIC202308.csv,VIC,202308,8928,none,0,0,0
VIC202309.csv,VIC,202309,8640,none,0,0,0
VIC202310.csv,VIC,202310,8928,none,0,0,0
VIC202311.csv,VIC,202311,8640,none,0,0,0
VIC202312.csv,VIC,202312,8928,none,0,0,0
VIC202401.csv,VIC,202401,8928,none,0,0,0
VIC202402.csv,VIC,202402,8352,none,0,0,0
VIC202403.csv,VIC,202403,8928,none,0,0,0
VIC202404.csv,VIC,202404,8640,none,0,0,0
VIC202405.csv,VIC,202405,8928,none,0,0,0
VIC202406.csv,VIC,202406,8640,none,0,0,0
VIC202407.csv,VIC,202407,8928,none,0,0,0
VIC202408.csv,VIC,202408,8928,none,0,0,0
VIC202409.csv,VIC,202409,8640,none,0,0,0
